"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
433,"NCT02814565","Cyclobenzaprine HCl Extended Release 15 mg Versus Placebo in Treatment of Cervical and/or Lower Back Pain Due to Muscle Spasms of Local Origin",,"Completed","Has Results","Neck Pain|Back Pain|Spasm","Drug: Cyclobenzaprine HCl|Drug: Placebo","Percentage of Participants With Subject's Rating of Medication Helpfulness Impression on Day 3 of Treatment|Percentage of Participants With Subject's Rating of Medication Helpfulness Impression on Days 7 and 14 of Treatment|Percentage of Participants With Physician's Clinical Global Assessment on Day 3 of Treatment|Percentage of Participants With Physician's Clinical Global Assessment on Days 7 and 15 of Treatment|Percentage of Participants With Subject-Rated Global Impression on Days 3, 7, and 14 of Treatment|Percentage of Responders on Days 3, 7, and 14 of Treatment|Percentage of Participants With Physician Rated Assessment of Presence of Muscle Spasm on Days 3, 7, and 15 of Treatment|Percentage of Participants With Physician Rated Assessment of Presence of Local Pain on Days 3, 7, and 15 of Treatment|Percentage of Participants With Physician Rated Assessment of Limitation of Range of Motion on Days 3, 7, and 15 of Treatment|Percentage of Participants With Physician Rated Assessment of Limitation of Activities of Daily Living on Days 3, 7, and 15 of Treatment","Takeda","All","18 Years to 50 Years   (Adult)","Phase 3","180","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CYC-RR-001|U1111-1162-4846","October 12, 2016","February 10, 2017","March 14, 2017","June 27, 2016","April 8, 2019","April 8, 2019","Lipetsk, Lipetsk Region, Russian Federation|Saransk, Republic Of Mordovia, Russian Federation|Kazan, Republic Of Tatarstan, Russian Federation|Ekaterinburg, Sverdlovsk Region, Russian Federation|Moscow, Russian Federation|Nizhny Novgorod, Russian Federation|Novosibirsk, Russian Federation|Saint-Petersburg, Russian Federation|Tver, Russian Federation|Yaroslavl, Russian Federation","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT02814565/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT02814565/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT02814565"
434,"NCT02813681","Ultrasound-Guided Landmark and Epidural Site Pain",,"Completed","Has Results","Back Pain|Epidural Analgesia, Obstetric","Procedure: US-epidural SVD|Procedure: US sham- epidural SVD|Procedure: Spontaneous vaginal delivery without an Epidural","Epidural Pressure Sensitivity at Level of Epidural Insertion|Induction Medication|Opioid Use During Labor|Short-term Back Pain|Number of Needle Repositions|Number of Needle Insertions","The University of Texas Medical Branch, Galveston","Female","18 Years to 35 Years   (Adult)","Not Applicable","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","14-0110","May 2014","May 2016","May 2016","June 27, 2016","October 3, 2019","October 3, 2019",,,"https://ClinicalTrials.gov/show/NCT02813681"
435,"NCT02812238","Study to Evaluate the Effect of Nicotinamide Riboside on Immunity",,"Completed","Has Results","Atherosclerosis|Diabetes|Coronary Artery Disease","Dietary Supplement: Nicotinamide riboside (NR)|Drug: Placebo","Mean IL-1 Beta Release From Peripheral Blood Mononuclear Cells During Refeeding After 24 Hour Fast","National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)","All","18 Years to 39 Years   (Adult)","Not Applicable","38","NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","160129|16-H-0129","June 23, 2016","August 28, 2018","August 28, 2018","June 24, 2016","September 17, 2019","September 17, 2019","National Institutes of Health Clinical Center, Bethesda, Maryland, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT02812238/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02812238"
436,"NCT02811159","An Extension Study of 12 mg Proellex® (Telapristone Acetate) Administered Orally in the Treatment of Premenopausal Women With Confirmed Symptomatic Uterine Fibroids",,"Terminated","Has Results","Uterine Fibroids","Drug: Telapristone acetate","Percentage of Participants in Amenorrhea|Percentage Change From Baseline in Total Uterine Fibroid System Quality of Life Survey System Severity (UFS-SSS) Score|Percentage Change From Baseline in the Individual UFS-SSS Subscale Score Question 1|Percentage Change From Baseline in the Individual UFS-SSS Subscale Score Question 2|Percentage Change From Baseline in the Individual UFS-SSS Subscale Score Question 3|Percentage Change From Baseline in the Individual UFS-SSS Subscale Score Question 4|Percentage Change From Baseline in the Individual UFS-SSS Subscale Score Question 5|Percentage Change From Baseline in the Individual UFS-SSS Subscale Score Question 6|Percentage Change From Baseline in the Individual UFS-SSS Subscale Score Question 7|Percentage Change From Baseline in the Individual UFS-SSS Subscale Score Question 8|Change From Baseline in Pictorial Blood Loss Assessment Chart (PBAC) Score|Percentage Change From Baseline in Total Uterine Fibroid Volume","Repros Therapeutics Inc.","Female","18 Years to 47 Years   (Adult)","Phase 2","20","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ZPU-203EXT","July 26, 2016","May 4, 2017","May 4, 2017","June 23, 2016","June 19, 2019","June 27, 2019","KO Clinical Research, LLC, Fort Lauderdale, Florida, United States|Atlanta Women's Research Institute, Inc., Atlanta, Georgia, United States|WR-Mount Vernon Clinical Research, LLC, Sandy Springs, Georgia, United States|Southern Clinical Research Associates, LLC, Metairie, Louisiana, United States|The Jackson Clinic, PA, Jackson, Tennessee, United States|Advances in Health, Houston, Texas, United States|The Women's Hospital of Texas Clinical Research Center, Houston, Texas, United States|Clinical Research Partners, LLC, Richmond, Virginia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT02811159/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02811159"
437,"NCT02806869","Modernization of in vivo-in Vitro Oral Bioperformance Prediction and Assessment",,"Completed","Has Results","Human Gastrointestinal Physiology Data","Drug: Single dose of ibuprofen (800 mg tablet)|Dietary Supplement: Pulmocare, two 8.0 oz (236.6 mL) cans","Average Duodenal Fluid pH in Fasted Compared to Fed Participants Administered a Single Dose of Ibuprofen|Maximum Duodenal Fluid Concentration of Ibuprofen in Fasted Compared to Fed Participants Administered a Single Dose of Ibuprofen|Average Area Under the Plasma Concentration-time Curve (AUC) in Fasted Compared to Fed Participants Administered a Single Dose of Ibuprofen","University of Michigan|Food and Drug Administration (FDA)","All","18 Years to 55 Years   (Adult)","Not Applicable","48","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","FDA_13-RFQ-1116088|HHSF223201310144C","January 2015","November 2016","July 2017","June 21, 2016","December 8, 2017","December 8, 2017","University of Michigan, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT02806869"
438,"NCT02806024","Perioperative Administration of Tranexamic Acid for Placenta Previa and Accreta Study","TAPPAS","Completed","Has Results","Placenta Accreta|Postpartum Hemorrhage|Cesarean Section|Tranexamic Acid","Drug: Tranexamic Acid|Drug: Placebo Drug","Estimated Blood Loss (EBL)|Blood Transfusion (Number of Units Transfused) Intraoperatively","University of California, San Francisco|Central California Faculty Medical Group|University of California, San Francisco Fresno","Female","18 Years to 60 Years   (Adult)","Phase 4","14","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","2016036","November 2016","July 2018","August 2018","June 20, 2016","December 3, 2019","December 3, 2019","Community Regional Medical Center, Fresno, California, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/24/NCT02806024/ICF_000.pdf|""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/24/NCT02806024/Prot_SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02806024"
439,"NCT02804399","A Study To Evaluate The Effect Of Rifampin On Pharmacokinetics Of PF-06463922 In Healthy Volunteers",,"Completed","Has Results","Healthy","Drug: PF-06463922|Drug: rifampin","Plasma AUCinf for PF-06463922 Given Alone and With Rifampin|Plasma Cmax for PF-06463922 Given Alone and With Rifampin|Plasma AUClast for PF-06463922 Given Alone and With Rifampin|Plasma Tmax for PF-06463922 Given Alone and With Rifampin|Plasma t1/2 for PF-06463922 Given Alone and With Rifampin|Plasma CL/F for PF-06463922 Given Alone and With Rifampin|Plasma Vz/F for PF-06463922 Given Alone and With Rifampin|Plasma AUClast for PF-06895751 When PF-06463922 Given Alone and With Rifampin|Plasma AUCinf for PF-06895751 When PF-06463922 Given Alone and With Rifampin|Plasma Tmax for PF-06895751 When PF-06463922 Given Alone and With Rifampin.|Plasma t1/2 for PF-06895751 When PF-06463922 Given Alone and With Rifampin|Plasma Cmax for PF-06895751 When PF-06463922 Given Alone and With Rifampin|Plasma Molecular Weight Adjusted Metabolite to Parent (M/P) Ratio for Cmax (MRCmax) of PF-06463922 and Its Metabolite: When PF-06463922 Given Alone and With Rifampin|Plasma Molecular Weight Adjusted Metabolite to Parent (M/P) Ratio for AUClast (MRAUClast) of PF-06463922 and Its Metabolite: When PF-06463922 Given Alone and With Rifampin|Plasma Molecular Weight Adjusted Metabolite to Parent (M/P) Ratio for AUCinf (MRAUCinf) of PF-06463922 and Its Metabolite: When PF-06463922 Given Alone and With Rifampin","Pfizer","All","18 Years to 55 Years   (Adult)","Phase 1","12","Industry","Interventional","Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","B7461011|RIFAMPIN DDI STUDY","July 2016","October 2016","October 2016","June 17, 2016","January 25, 2019","January 25, 2019","Pfizer New Haven Clinical Research Unit, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT02804399"
440,"NCT02802865","Combined Letrozole and Clomid in Women With Infertility and PCOS",,"Completed","Has Results","Polycystic Ovary Syndrome|Infertility","Drug: Clomiphene|Drug: Letrozole","Number of Participants Achieving Ovulation Measured by Mid-luteal Progesterone Level|Number of Developing Follicles|Size of Largest Developing Follicle|Endometrial Thickness|Conception|Clinical Pregnancy|Multiple Gestation|Live Birth|Pregnancy Loss","Rachel Mejia|University of Iowa","Female","18 Years to 40 Years   (Adult)","Phase 4","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","201606806","August 2016","May 2018","February 2019","June 16, 2016","September 27, 2019","September 27, 2019","University of Iowa Hospitals & Clinics, Iowa City, Iowa, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT02802865/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02802865"
441,"NCT02802592","EPOgen and Restrictive Transfusions in Patients Undergoing Cardiac Surgery (EPORT)","EPORT","Terminated","Has Results","Cardiac Surgery-CABG|Cardiac Valve Replacement","Drug: Epogen|Drug: Normal Saline","Total Number of Packed Red Blood Cells Transfused During the Intraoperative and Immediate Postoperative Period|Length of Stay (# of Total Days Hospitalized)|Overall Hospitalization Cost|Change in Quality of Life as Assessed by Short Form-36 Quality of Life Survey","Johns Hopkins University","All","18 Years to 64 Years   (Adult)","Phase 1|Phase 2","4","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00050961","May 2015","June 15, 2016","February 27, 2017","June 16, 2016","September 14, 2017","February 26, 2019","Suburban Hospital, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02802592"
442,"NCT02801942","Immune Profile in Subjects With New Onset Type 1 Diabetes",,"Completed","Has Results","Diabetes Mellitus, Type 1","Procedure: Inguinal lymph node fine needle aspirate biopsy|Procedure: Inguinal lymph node core biopsy|Procedure: Peripheral blood collection|Other: Pre- and post-biopsy questionnaire","Percentage of Leukocyte Subsets Including B Lymphocytes, Classical B Lymphocytes, Double Negative B Lymphocytes, Naive B Lymphocytes, Plasmablast and Transitional B Lymphocytes in Blood|Percentage of Leukocyte Subsets Including B Lymphocytes, Classical B Lymphocytes, Double Negative B Lymphocytes, Naive B Lymphocytes, Plasmablast and Transitional B Lymphocytes in iLN|Percentage of Leukocyte Subsets Including B-cells, Clusters of Differentiation 56 Positive (CD56+) CD16+ , CD56bright Natural Killer (NK) Cells, CD56lo CD16+, CD56lo CD16 Negative (CD56lo CD16-), Dendritic Cells, NK Cells in Blood|Percentage of Leukocyte Subsets Including B-cells, CD56+ CD16+, CD56bright NK Cells, CD56lo CD16+, CD56lo CD16-, Dendritic Cells, NK Cells in iLN|Percentage of Leukocyte Subsets Including CD56+CD16+, CD56bright NK Cells, CD56lo CD16+ and CD56lo CD16- in Blood|Percentage of Leukocyte Subsets Including CD56+CD16+, CD56bright NK Cells CD56lo CD16+ and CD56lo CD16- in iLN|Percentage of Leukocyte Subsets Including Myeloid Dendritic Cells and Plasmacytoid Dendritic Cells in Blood|Percentage of Leukocyte Subsets Including Myeloid Dendritic Cells and Plasmacytoid Dendritic Cells in iLN|Percentage of Leukocyte Subsets Including CD14+ CD16+ Monocytes, CD14+ Monocytes, and CD16+ Monocytes in Blood|Percentage of Leukocyte Subsets Including CD14+ CD16+ Monocytes, CD14+ Monocytes and CD16+ Monocytes in iLN|Percentage of Leukocyte Subsets Including CD45RA+ Effector Memory CD8, Central Memory CD8, Effector Memory CD8, Naive CD8 and Stem Cell Memory-like CD8 Cells in Blood|Percentage of Leukocyte Subsets Including CD45RA+ Effector Memory CD8, Central Memory CD8, Effector Memory CD8, Naive CD8 and Stem Cell Memory-like CD8 Cells in iLN|Percentage of Leukocyte Subsets Including Programmed Death 1 (PD-1)+ Inducible Costimulator (ICOS)+ Follicular Helper T (TFH) Cell-like Regulatory (Reg) T Cells in Blood|Percentage of Leukocyte Subsets Including PD-1+ ICOS+ TFH Cell-like Reg T Cells in iLN|Percentage of Leukocyte Subsets Including PD-1+ ICOS+ TFH Cells in Blood|Percentage of Leukocyte Subsets Including PD-1+ ICOS+ TFH Cells in iLN|Percentage of Leukocyte Subsets Including Central Memory Conventional (Conv) T Cells, Effector Memory Conv T Cells, Naive Conv T Cells and Stem Cell Memory-like Conv T Cells in Blood|Percentage of Leukocyte Subsets Including Central Memory Conv T Cells, Effector Memory Conv T Cells, Naive Conv T Cells and Stem Cell Memory-like Conv T Cells in iLN|Percentage of Leukocyte Subsets Including TFH Cells, PD-1+ ICOS+ TFH Cells, Type 17 T Helper (TH17) Cells, TH1 Cells, TH1 TH17 Cells, TH1 TH17 TH2 T Cells, TH1 TH2 Cells, TH2 Cells, and TH22 Cells in Blood|Percentage of Leukocyte Subsets Including TFH Cells, PD-1+ ICOS+ TFH Cells, Type 17 T Helper (TH17) Cells, TH1 Cells, TH1 TH17 Cells, TH1 TH17 TH2 T Cells, TH1 TH2 Cells, TH2 Cells, and TH22 Cells in iLN|Percentage of Leukocyte Subsets Including TFH Cells, PD-1+ ICOS+ TFH Cells, TH1 Cells, TH1 TH17 Cells, TH1 TH17 TH2 Cells, TH1 TH2 Cells, TH17 Cells, TH2 Cells and TH22 Cells-like Reg T Cells in Blood|Percentage of Leukocyte Subsets Including TFH Cells, PD-1+ ICOS+ TFH Cells, TH1 Cells, TH1 TH17 Cells, TH1 TH17 TH2 Cells, TH1 TH2 Cells, TH17 Cells, TH2 Cells and TH22 Cells-like Reg T Cells in iLN|Percentage of Leukocyte Subsets Including Reg T Cells in Blood|Percentage of Leukocyte Subsets Including Reg T Cells in iLN|Percentage of Leukocyte Subsets Including CD69+ CD8 and Antigen Ki67 (Ki67)+ CD8 in Blood|Percentage of Leukocyte Subsets Including CD69+ CD8 and Antigen Ki67 (Ki67)+ CD8 in iLN|Percentage of Leukocyte Subsets Including CD15s+ Reg T Cells, CD69+ Reg T Cells, Helios+ Reg T Cells, Ki67+ T Reg Cells, Memory Reg T Cells and Resting Reg T Cells in Blood|Percentage of Leukocyte Subsets Including CD15s+ Reg T Cells, CD69+ Reg T Cells, Helios+ Reg T Cells, Ki67+ T Reg Cells, Memory Reg T Cells and Resting Reg T Cells in iLN|Percentage of Leukocyte Subsets Including CD15s+ Conv T Cells, CD69+ Conv T Cells, Helios+ Conv T Cells and Ki67+ Conv T Cells in Blood|Percentage of Leukocyte Subsets Including CD15s+ Conv T Cells, CD69+ Conv T Cells, Helios+ Conv T Cells and Ki67+ Conv T Cells in iLN|Percentage of Leukocyte Subsets Including CD15s+ Memory Conv T Cells, CD69+ Memory Conv T Cells, Helios+ Memory Conv T Cells and Ki67+ Memory Conv T Cells in Blood|Percentage of Leukocyte Subsets Including CD15s+ Memory Conv T Cells, CD69+ Memory Conv T Cells, Helios+ Memory Conv T Cells and Ki67+ Memory Conv T Cells in iLN|Percentage of Leukocyte Subsets Including B Lymphocytes, Classical B Lymphocytes, Double Negative B Lymphocytes, Naive B Lymphocytes, Plasmablast and Transitional B Lymphocytes in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including B-cells, CD56+ CD16+, CD56bright NK Cells, CD56lo CD16+, CD56lo CD16, Dendritic Cells, NK Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including CD56+CD16+, CD56br NK Cells CD56lo CD16+ and CD56lo CD16- in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including Myeloid Dendritic Cells and Plasmacytoid Dendritic Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including CD14+ CD16+ Monocytes, CD14+ Monocytes and CD16+ Monocytes in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including CD45RA+ Effector Memory CD8, Central Memory CD8, Effector Memory CD8, Naive CD8 and Stem Cell Memory-like CD8 in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including PD-1+ ICOS+ TFH Cell-like Reg T Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including PD-1+ ICOS+ TFH Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including Central Memory Conv T Cells, Effector Memory Conv T Cells, Naive Conv T Cells and Stem Cell Memory-like Conv T Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including TFH Cells, PD-1+ ICOS+ TFH Cells, TH17 Cells, TH1 Cells, TH1 TH17 Cells, TH1 TH17 TH2 T Cells, TH1 TH2 Cells, TH2 Cells, and TH22 Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including TFH Cells, PD-1+ ICOS+ TFH Cells, TH1 Cells, TH1 TH17 Cells, TH1 TH17 TH2 Cells, TH1 TH2 Cells, TH17 Cells, TH2 Cells and TH22 Cells-like Reg T Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including Reg T Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including CD69+ CD8 and Antigen Ki67 (Ki67)+ CD8 in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including CD15s+ Reg T Cells, CD69+ Reg T Cells, Helios+ Reg T Cells, Ki67+ T Reg Cells, Memory Reg T Cells and Resting Reg T Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including CD15s+ Conv T Cells, CD69+ Conv T Cells, Helios+ Conv T Cells and Ki67+ Conv T Cells in iLN Core Biopsies and iLN FNA|Percentage of Leukocyte Subsets Including CD15s+ Memory Conv T Cells, CD69+ Memory Conv T Cells, Helios+ Memory Conv T Cells and Ki67+ Memory Conv T Cells in iLN Core Biopsies and iLN FNA|Number of Participants With Serious Adverse Events (SAEs) and Non-SAEs|Number of Participants Undergoing Procedure Under Local Anesthetics|Number of Participants Undergoing iLN Biopsy Under Local Anesthetics|Number of Participants With Different Reasons for Participating in the Study|Number of Participants With Extreme Anxiety Towards the Lymph Node Biopsy|Number of Participants Looking Forward to Undergo the Procedure|Number of Participants With Aspects Better Explained About the Lymph Node Biopsy Procedure|Number of Participants Who Considered to Undergo Lymph Node Biopsy Procedure Another Time|Number of Participants Who Were Encouraged to be Included in Study for iLN Biopsy|Number of Participants Who Appreciated Receiving Study Feedback","GlaxoSmithKline","All","18 Years to 40 Years   (Adult)","Not Applicable","22","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","203158","July 25, 2016","December 21, 2017","December 21, 2017","June 16, 2016","February 27, 2019","February 27, 2019","GSK Investigational Site, Cambridge, United Kingdom|GSK Investigational Site, Cardiff, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/42/NCT02801942/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/42/NCT02801942/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02801942"
